"C3L-02544-06","C3N-00518-01","C3L-00770-11","C3L-00586-03","93e30fd5-e57e-4503-a175-863c7d","C3L-00586-13","C3N-01179-05","C3N-01179-01","C3L-00583-06","C3N-03490-06","C3L-00981-06","C3L-02169-07","C3N-04176-09","C3N-01858-11","C3L-00136-13","C3N-01761-05","C3L-02809-04","C3L-01951-01","C3N-01505-01","C3N-03008-11"
550,1891,1146,1894,1798,301,321,786,510,1365,425,822,791,674,256,1114,1239,854,1086,651
33,259,885,511,874,251,30,240,23,316,32,110,187,1079,134,144,395,222,826,918
288,157,169,40,66,28,123,215,183,741,127,304,533,49,134,2109,123,61,1418,29
6278,2495,15670,5207,18951,2477,5208,12174,7475,2075,5666,13499,17361,2740,9149,3839,4368,11871,4585,1136
3354,2018,4388,4704,4364,1417,1792,2429,2360,2997,2129,2387,2538,2284,5958,3962,1797,1705,4262,1118
7461,9385,3992,7394,5746,2727,4317,8287,6093,6284,3645,4826,6705,5043,3426,11592,7443,9360,5640,4485
1088,1937,1239,1394,1974,285,929,1516,1341,1313,1006,3740,2927,560,525,915,2072,1389,2045,331
2746,2301,3117,5516,2218,1293,1638,1983,2467,2625,2293,1785,2633,702,1387,3120,2279,2353,3311,853
15,9,3,8,3,3,7,13,14,4,13,10,24,10,2,136,11,10,16,7
1218,1552,1753,2612,1653,695,846,1753,1305,926,975,1239,1669,1280,837,1670,1601,2248,1641,653
1025,2389,5409,5966,2270,3321,711,1727,1004,1828,737,1116,1762,2566,3025,2317,2887,1866,4688,1796
357,406,236,264,153,31,138,781,354,301,224,936,617,148,22,1335,169,583,478,8
3312,5158,11307,13236,8081,5380,2279,2500,3383,6145,2433,5606,5602,6236,4858,7045,6506,4393,5919,5779
784,1182,1252,1847,763,734,462,659,808,674,519,720,1106,905,469,878,759,1596,992,878
1886,1532,1385,1688,2009,366,891,2181,1218,4915,1222,1501,1888,638,335,1875,1236,2068,3184,642
1581,4092,2430,3956,3445,1209,1057,2106,1740,1634,1127,2419,3120,1433,1679,2875,3327,2964,2494,1274
757,746,493,1234,1196,197,477,616,592,589,613,837,914,160,199,940,324,516,1063,82
175,43,63,43,23,15,51,195,115,61429,75,73,193,29,13,595,76,184,79,7
0,0,0,12,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0
6,229,887,411,316,48,2,5,2,10173,5,4,3,251,56,17,256,1,135,126
675,5,4,8,1,0,386,7,391,4,776,0,2,2,6,0,36,26,76,3
6690,2717,8872,3468,4691,1653,4125,7512,5922,12396,7364,4154,6058,7269,2450,5816,3535,6517,1745,3003
7081,2229,560,1280,6181,326,7042,17054,11093,3398,11701,19810,33016,2697,492,5171,1937,21420,5661,263
234,93,1207,137,122,76,78,64,123,154,97,235,464,140,359,77,303,29,449,1445
44,10,0,1,0,0,46,9,61,2,24,2,0,64,0,7,1,1,22,6
2265,3519,2253,5259,3084,1220,1493,3481,2336,2888,1555,2055,2952,1948,1940,4132,2243,3711,3606,1201
11668,14781,12189,20078,16574,7734,7315,15886,11543,13145,8125,7842,13289,12226,14096,23870,12932,17093,17845,15677
4648,7428,5924,9991,7328,2748,2685,6348,3853,5729,2704,4665,5633,3374,2345,6268,6585,7497,5908,4192
2608,3753,1936,5039,2695,916,2173,3868,2931,3996,1865,2287,2576,1239,971,3489,2986,4634,4039,1321
390,157,2643,1169,1202,399,217,199,186,477,454,1109,805,1051,587,373,543,172,581,628
3101,1128,796,530,1704,164,1833,701,1747,359,2278,3042,2762,683,231,498,574,686,453,145
2143,2412,528,476,2452,218,1156,2828,2079,4214,1583,2112,4765,2596,394,12473,2056,3730,1861,539
0,1,5,4,3,6,0,0,4,1,1,2,2,192,27,0,3,0,1,2
597,1750,2374,2189,1641,1083,284,2192,538,829,423,623,1259,1954,1144,1197,2362,2400,932,733
343,382,228,538,335,119,171,416,296,349,239,182,236,260,110,394,354,485,425,146
4781,978,217,467,174,181,3960,5894,4963,1096,3127,967,1744,501,1942,7923,1587,5580,5174,5
5452,3889,4813,5471,2016,2482,5219,11917,6609,7256,4380,3062,4951,3783,12078,5567,3269,10434,1805,2492
22,27,105,25,28,18,20,35,10,9,25,3,7,52,85,34,10,26,10,13
5754,974,3417,1898,290,681,3970,4041,6641,4519,4818,3406,4172,1545,309,9160,828,3115,554,46
7,89,28,18,19,6,7,27,10,19,6,135,93,9,3,23,65,27,23,1
42,289,898,342,210,66,91,143,118,925,102,168,250,377,64,49,119,50,34,1786
2142,2895,1597,5570,2416,1401,1204,1454,2282,6656,1873,4087,2955,2613,1148,2406,2437,2360,3978,15876
1750,2468,333,684,1191,275,1479,3112,1900,2706,1126,1121,1691,2863,398,3408,2019,3704,1599,3149
579,903,1073,799,560,409,505,913,643,476,444,485,776,829,610,644,765,871,457,527
2407,2815,2645,8285,2866,2403,1650,2182,2109,4897,1455,2091,1992,3722,1543,2673,3666,2575,2181,9996
2036,837,2842,1870,581,484,1853,729,1798,446,1282,349,630,819,515,1966,843,632,396,936
430,1761,1109,1117,2306,561,268,749,546,517,345,2408,2678,1610,510,866,1247,949,682,876
967,817,924,1272,956,187,620,1405,859,1153,693,669,623,324,250,1022,715,1385,1175,199
1012,1294,1812,3027,1292,685,712,1329,1078,1264,862,1004,1204,1432,1154,1305,1772,1326,1704,1125
6017,3243,8153,10396,2783,2928,4753,6722,6522,4491,4884,4813,8658,2861,3448,11885,5252,7116,5977,1964
189,80,223,7,156,5,94,279,118,412,88,27,93,284,40,69,2168,187,41,12
17,68,19,4,11,6,3,11,13,97,7,3,6,17,22,21,17,4,2,5
2242,1682,2700,3088,2945,556,1204,2254,1546,2072,2036,1812,2193,769,599,2396,1105,1751,1944,471
3384,4394,4519,6882,4781,2313,2388,4894,3729,3427,2689,3254,3929,2865,2576,6071,2860,5800,6039,1929
1065,1902,3829,4863,1744,1124,869,2198,1269,3556,1025,1489,2231,1151,976,3283,1508,2660,1621,822
2778,2052,1961,1365,1067,1100,1752,1034,2514,1923,1754,402,579,4649,2243,2770,1015,827,3916,5551
7331,1861,7686,6391,2783,2897,3954,3484,5649,6297,5606,1285,2287,1052,2959,528,1588,2916,68,1632
515,195,113,64,6241,38,436,108,441,11186,409,106,310,124,459,343,145,127,181,144
67,1548,544,494,2192,120,47,213,52,2203,65,468,800,489,176,1208,872,387,281,556
69,1372,5,21,23,7,33,8,74,517,45,178,312,354,1,161,92,0,1,6
3454,18401,5203,5988,6595,2037,2639,5085,4102,7348,2677,4140,6538,3895,3988,5675,11724,5577,8238,8106
1111,1261,4266,2533,1497,1203,759,1481,1190,727,939,720,1053,1321,1760,1283,1319,1586,1296,1259
2064,1056,2918,2079,1461,900,1196,2003,1760,1761,1710,1110,2361,1796,789,2743,1222,1435,1612,805
2719,4739,3682,7112,5940,2472,2125,4143,2881,3153,1718,3479,4133,3373,1892,3838,4097,6654,5409,7072
498,1420,371,212,549,99,380,700,556,4999,435,351,553,693,262,684,680,626,516,284
13,3,40,11,9,0,6,3,11,32,7,6,8,0,138,7,3,5,6,1
625,2814,318,291,644,20,621,7273,625,335,680,2901,1316,241,30,1058,2256,15193,662,240
3818,3106,3271,4285,3719,661,2336,4516,3055,3590,2788,3210,3882,923,1068,3473,4011,3348,4498,603
541,461,1030,885,923,206,301,699,438,831,382,457,359,179,286,491,384,323,550,284
666,323,1952,861,677,400,333,500,413,504,509,451,622,669,579,707,402,307,535,693
2908,1414,2338,2114,2083,629,1929,2119,2728,2507,2411,2045,2462,847,814,2649,1264,2668,2286,975
554,922,555,1739,1112,214,492,1327,724,989,617,952,1114,305,134,1090,687,1238,1233,169
393,736,900,1624,1541,577,235,708,416,1188,271,390,758,1002,596,743,456,821,631,441
13,2149,4087,1597,4322,298,5,12,16,851,7,277,620,6,244,434,924,10,33,21
1376,1368,2737,2078,1073,415,1006,1177,1593,2566,1007,746,1020,573,507,782,1025,1253,1128,546
132,11,9,7,5,5,63,6,83,806,101,16,20,5,1152,11,10,12,57,11
5133,2018,3118,3966,2565,637,3231,4447,4991,2756,4625,2393,3012,450,827,3244,1719,4187,3077,339
5132,2539,5443,2330,2733,1069,3219,6332,4098,7178,3464,5810,10679,3414,1465,4191,3978,4932,6103,2435
62,52,238,212,229,86,25,76,31,57,96,46,69,65,156,107,49,88,161,24
1276,1774,1114,2142,1750,497,800,2516,1188,897,965,872,1484,671,1025,1463,1423,1973,1487,516
4,20,26,27,115,6,2,0,0,1,2,4,26,25,4,0,30,2,9,499
221,125,866,615,214,181,107,89,144,271,131,245,212,52,299,49,100,63,10,213
0,5,1,1,0,0,0,0,0,2,1,1,0,0,1,0,1,1,162,64
9072,13521,31834,35797,23087,22740,7141,10574,8531,27126,7984,12688,16754,43668,23700,14342,17986,10481,11758,53486
197,131,244,236,193,66,108,219,177,540,157,175,390,167,62,281,102,214,127,158
539,801,338,1132,666,158,321,757,478,511,444,543,808,157,189,712,781,859,585,224
1093,1012,1414,1384,1717,699,836,1235,1060,1024,807,1057,1395,1466,592,1314,1400,1125,928,1539
1672,1592,1357,1407,1355,717,1241,1705,1718,1425,1403,2141,3721,735,1863,3723,1786,1172,1387,1030
613,788,653,1774,961,260,460,906,594,1088,467,669,778,427,279,1169,603,740,988,314
310,63,18,4,28,7,156,3,203,1697,325,80,153,24,7,761,34,7,365,133
1540,799,1459,2451,1623,437,646,1045,919,1537,1017,1410,2500,1112,286,2085,1312,1070,1275,534
6294,14809,10838,17284,11754,5054,4469,10168,6371,9865,4741,9911,13880,10530,6801,12366,12019,14373,10406,11942
2409,4911,5008,4511,7954,2123,1541,3240,3447,2008,2208,1999,1905,1829,3402,553,5006,2878,4111,1867
3,4,0,1,1,0,1,0,0,1,2,0,6,0,0,1,29,0,6,5
23144,3,15,17,40,5,15686,35,16866,5,17860,6,17,19,13,2,7,19,3,9
350,829,1520,2094,1130,839,201,552,355,538,284,455,710,927,434,783,604,538,1510,640
3231,4345,3987,9481,2540,2841,2220,3413,3102,2713,2134,5996,5278,3404,1720,5200,3620,3540,4552,3436
